id,title,overview,genres,keywords,vote_average,vote_count,popularity,release_date,status,imdb_id,poster_path,tagline,production_companies,production_countries
11,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo.,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Action'}]","[{'name': 'middle earth'}, {'name': 'ring'}, {'name': 'epic'}, {'name': 'quest'}, {'name': 'battle'}]",8.5,23000,75,2003-12-01,Released,tt0167260,/rCzpDGLbOoPwLjy7CStCoh0g.jpg,The eye of the enemy is moving.,[{'name': 'New Line Cinema'}],[{'name': 'New Zealand'}]
12,Schindlers List,In German-occupied Poland industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.,"[{'name': 'Drama'}, {'name': 'History'}, {'name': 'War'}]","[{'name': 'holocaust'}, {'name': 'jews'}, {'name': 'world war ii'}, {'name': 'rescue'}, {'name': 'humanity'}]",8.6,15000,55,1993-12-15,Released,tt0108052,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,The list is life.,[{'name': 'Universal Pictures'}],[{'name': 'United States of America'}]
13,Titanic,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated RMS Titanic.,"[{'name': 'Drama'}, {'name': 'Romance'}]","[{'name': 'titanic'}, {'name': 'ship'}, {'name': 'love'}, {'name': 'disaster'}, {'name': 'ocean'}]",7.9,24000,82,1997-11-18,Released,tt0120338,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Nothing on Earth could come between them.,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
14,The Avengers,Earths mightiest heroes must come together to stop Loki and his alien army from enslaving humanity.,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Science Fiction'}]","[{'name': 'superhero'}, {'name': 'avengers'}, {'name': 'alien'}, {'name': 'team'}, {'name': 'marvel'}]",7.7,30000,95,2012-04-25,Released,tt0848228,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Some assembly required.,[{'name': 'Marvel Studios'}],[{'name': 'United States of America'}]
15,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park is tasked with protecting children.,"[{'name': 'Adventure'}, {'name': 'Science Fiction'}, {'name': 'Thriller'}]","[{'name': 'dinosaur'}, {'name': 'theme park'}, {'name': 'genetics'}, {'name': 'island'}, {'name': 'survival'}]",7.9,16000,72,1993-06-11,Released,tt0107290,/oU7Oez2kVBft78T2urIGlLRn6gB.jpg,An adventure 65 million years in the making.,[{'name': 'Universal Pictures'}],[{'name': 'United States of America'}]
16,Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following orders.,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Science Fiction'}]","[{'name': 'alien'}, {'name': 'avatar'}, {'name': 'planet'}, {'name': 'nature'}, {'name': 'war'}]",7.6,30000,90,2009-12-15,Released,tt0499549,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,Enter the World.,[{'name': '20th Century Fox'}],[{'name': 'United States of America'}]
17,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]","[{'name': 'roman'}, {'name': 'gladiator'}, {'name': 'revenge'}, {'name': 'emperor'}, {'name': 'arena'}]",8.2,17000,70,2000-05-01,Released,tt0172495,/ty8TGRuvJLPUmAR1H1nRIsgwIF.jpg,Are you not entertained?,[{'name': 'DreamWorks Pictures'}],[{'name': 'United States of America'}]
18,The Lion King,Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne.,"[{'name': 'Animation'}, {'name': 'Family'}, {'name': 'Drama'}]","[{'name': 'lion'}, {'name': 'africa'}, {'name': 'prince'}, {'name': 'kingdom'}, {'name': 'coming of age'}]",8.3,17000,76,1994-06-24,Released,tt0110357,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,Life's greatest adventure is finding your place.,[{'name': 'Walt Disney Pictures'}],[{'name': 'United States of America'}]
19,The Silence of the Lambs,A young FBI cadet must receive the help of an incarcerated manipulative cannibal killer.,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}, {'name': 'Horror'}]","[{'name': 'serial killer'}, {'name': 'fbi'}, {'name': 'cannibal'}, {'name': 'psychological'}, {'name': 'suspense'}]",8.3,15000,62,1991-02-01,Released,tt0102926,/rplLJ2hPcOQmkFhTqUte0MkEb9a.jpg,To enter the mind of a killer she must challenge the mind of a madman.,[{'name': 'Orion Pictures'}],[{'name': 'United States of America'}]
20,Saving Private Ryan,Following the Normandy Landings a group of soldiers go behind enemy lines to retrieve a paratrooper.,"[{'name': 'Drama'}, {'name': 'History'}, {'name': 'War'}]","[{'name': 'world war ii'}, {'name': 'normandy'}, {'name': 'soldiers'}, {'name': 'rescue'}, {'name': 'sacrifice'}]",8.2,15000,65,1998-07-24,Released,tt0120815,/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg,The mission is a man.,[{'name': 'DreamWorks Pictures'}],[{'name': 'United States of America'}]
21,Star Wars,Luke Skywalker joins forces with a Jedi Knight to save the galaxy from the empires world destroying battle station.,"[{'name': 'Adventure'}, {'name': 'Action'}, {'name': 'Science Fiction'}]","[{'name': 'space'}, {'name': 'jedi'}, {'name': 'force'}, {'name': 'empire'}, {'name': 'rebellion'}]",8.2,19000,80,1977-05-25,Released,tt0076759,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,A long time ago in a galaxy far far away.,[{'name': 'Lucasfilm Ltd'}],[{'name': 'United States of America'}]
22,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating a crime syndicate.,"[{'name': 'Drama'}, {'name': 'Thriller'}, {'name': 'Crime'}]","[{'name': 'undercover'}, {'name': 'mole'}, {'name': 'police'}, {'name': 'crime'}, {'name': 'boston'}]",8.2,14000,60,2006-10-05,Released,tt0407887,/nT97ifVT2J1yMQmeq20Hzd7Msv0.jpg,Cops or criminals. When you're facing a loaded gun what's the difference?,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
23,Whiplash,A promising young drummer enrolls at a music conservatory where his dreams of greatness are mentored by an instructor.,"[{'name': 'Drama'}, {'name': 'Music'}]","[{'name': 'music'}, {'name': 'jazz'}, {'name': 'drums'}, {'name': 'obsession'}, {'name': 'mentor'}]",8.4,14000,55,2014-10-10,Released,tt2582802,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,The road to greatness can take you to the edge.,[{'name': 'Bold Films'}],[{'name': 'United States of America'}]
24,The Prestige,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Thriller'}, {'name': 'Science Fiction'}]","[{'name': 'magic'}, {'name': 'rivalry'}, {'name': 'obsession'}, {'name': 'illusion'}, {'name': 'sacrifice'}]",8.2,15000,58,2006-10-19,Released,tt0482571,/tRNlZbgNCNOk0vMqEhNRYlLCgEH.jpg,Are you watching closely?,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
25,Django Unchained,With the help of a German bounty hunter a freed slave sets out to rescue his wife from a brutal plantation owner.,"[{'name': 'Drama'}, {'name': 'Western'}]","[{'name': 'slavery'}, {'name': 'bounty hunter'}, {'name': 'revenge'}, {'name': 'western'}, {'name': 'freedom'}]",8.2,26000,70,2012-12-25,Released,tt1853728,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,Life liberty and the pursuit of vengeance.,[{'name': 'Columbia Pictures'}],[{'name': 'United States of America'}]
26,Joker,A mentally troubled comedian in Gotham City embarks on a downward spiral leading to the creation of an iconic villain.,"[{'name': 'Crime'}, {'name': 'Thriller'}, {'name': 'Drama'}]","[{'name': 'joker'}, {'name': 'gotham'}, {'name': 'mental illness'}, {'name': 'villain'}, {'name': 'society'}]",8.2,24000,85,2019-10-01,Released,tt7286456,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,Put on a happy face.,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
27,Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"[{'name': 'Comedy'}, {'name': 'Thriller'}, {'name': 'Drama'}]","[{'name': 'class'}, {'name': 'inequality'}, {'name': 'parasite'}, {'name': 'family'}, {'name': 'deception'}]",8.5,17000,75,2019-05-30,Released,tt6751668,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,Act like you own the place.,[{'name': 'CJ Entertainment'}],[{'name': 'South Korea'}]
28,Spider-Man: No Way Home,Spider-Man seeks help from Doctor Strange when his identity is revealed causing the multiverse to break open.,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Science Fiction'}]","[{'name': 'spider-man'}, {'name': 'multiverse'}, {'name': 'superhero'}, {'name': 'identity'}, {'name': 'marvel'}]",8.0,18000,92,2021-12-15,Released,tt10872600,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,The multiverse unleashed.,[{'name': 'Marvel Studios'}],[{'name': 'United States of America'}]
29,The Green Mile,The lives of guards on death row are affected by one of their charges a man accused of child murder who has a mysterious gift.,"[{'name': 'Fantasy'}, {'name': 'Drama'}, {'name': 'Crime'}]","[{'name': 'prison'}, {'name': 'death row'}, {'name': 'gift'}, {'name': 'miracle'}, {'name': 'guard'}]",8.5,16000,60,1999-12-10,Released,tt0120689,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,Miracles do happen.,[{'name': 'Castle Rock Entertainment'}],[{'name': 'United States of America'}]
30,Se7en,Two detectives hunt a serial killer who uses the seven deadly sins as his motives.,"[{'name': 'Crime'}, {'name': 'Mystery'}, {'name': 'Thriller'}]","[{'name': 'serial killer'}, {'name': 'detective'}, {'name': 'seven deadly sins'}, {'name': 'dark'}, {'name': 'mystery'}]",8.3,14000,62,1995-09-22,Released,tt0114369,/6yoghtyTpznpBik8EngEmJskVUO.jpg,Seven deadly sins. Seven ways to die.,[{'name': 'New Line Cinema'}],[{'name': 'United States of America'}]
31,Iron Man,After being held captive in an Afghan cave billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.,"[{'name': 'Action'}, {'name': 'Science Fiction'}, {'name': 'Adventure'}]","[{'name': 'iron man'}, {'name': 'superhero'}, {'name': 'armor'}, {'name': 'technology'}, {'name': 'marvel'}]",7.6,25000,85,2008-04-30,Released,tt0371746,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,Heroes aren't born. They're built.,[{'name': 'Marvel Studios'}],[{'name': 'United States of America'}]
32,The Terminator,A cyborg assassin is sent back in time to kill the mother of the future resistance leader.,"[{'name': 'Action'}, {'name': 'Thriller'}, {'name': 'Science Fiction'}]","[{'name': 'cyborg'}, {'name': 'time travel'}, {'name': 'future'}, {'name': 'terminator'}, {'name': 'war'}]",7.6,12000,65,1984-10-26,Released,tt0088247,/qvktm0BHcnmDisA2cG78YJ2HA2R.jpg,Your future is in his hands.,[{'name': 'Orion Pictures'}],[{'name': 'United States of America'}]
33,Back to the Future,Marty McFly accidentally travels back in time and must ensure his parents meet and fall in love.,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Science Fiction'}]","[{'name': 'time travel'}, {'name': 'delorean'}, {'name': 'teenager'}, {'name': 'past'}, {'name': 'adventure'}]",8.3,18000,72,1985-07-03,Released,tt0088763,/7lyBcpYB0Qt8gYhXYaXDfm3ZG3c.jpg,He's the only kid ever to get into trouble before he was born.,[{'name': 'Universal Pictures'}],[{'name': 'United States of America'}]
34,Aliens,Ellen Ripley is rescued after drifting through space and returns to the moon where her crew encountered the hostile Alien.,"[{'name': 'Action'}, {'name': 'Thriller'}, {'name': 'Science Fiction'}, {'name': 'Horror'}]","[{'name': 'alien'}, {'name': 'space'}, {'name': 'marines'}, {'name': 'survival'}, {'name': 'sequel'}]",7.9,11000,60,1986-07-18,Released,tt0090605,/r1x5JGpyqkM2eYVqJ5msBppX7Zv.jpg,This time it's war.,[{'name': '20th Century Fox'}],[{'name': 'United States of America'}]
35,WALL-E,A robot left to clean up an abandoned Earth meets another robot and follows her into space.,"[{'name': 'Animation'}, {'name': 'Family'}, {'name': 'Science Fiction'}]","[{'name': 'robot'}, {'name': 'earth'}, {'name': 'love'}, {'name': 'space'}, {'name': 'environment'}]",8.1,17000,65,2008-06-22,Released,tt0910970,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,After 700 years of doing what he was built for he'll discover what he was meant for.,[{'name': 'Pixar'}],[{'name': 'United States of America'}]
36,Coco,A boy who dreams of being a musician enters the Land of the Dead to find his great-great-grandfather.,"[{'name': 'Animation'}, {'name': 'Family'}, {'name': 'Fantasy'}, {'name': 'Music'}]","[{'name': 'mexico'}, {'name': 'death'}, {'name': 'music'}, {'name': 'family'}, {'name': 'memory'}]",8.2,18000,70,2017-10-27,Released,tt2380307,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,The celebration of a lifetime.,[{'name': 'Pixar'}],[{'name': 'United States of America'}]
37,Mad Max: Fury Road,A woman rebels against a tyrannical ruler in postapocalyptic wasteland searching for her homeland.,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Science Fiction'}, {'name': 'Thriller'}]","[{'name': 'post-apocalyptic'}, {'name': 'desert'}, {'name': 'chase'}, {'name': 'survival'}, {'name': 'rebellion'}]",7.6,22000,68,2015-05-13,Released,tt1392190,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,What a lovely day.,[{'name': 'Warner Bros Pictures'}],[{'name': 'Australia'}]
38,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,"[{'name': 'Comedy'}, {'name': 'Drama'}]","[{'name': 'reality tv'}, {'name': 'surveillance'}, {'name': 'freedom'}, {'name': 'truth'}, {'name': 'media'}]",8.1,16000,60,1998-06-05,Released,tt0120382,/vuza0WqY239yBXOopRae2JWxCTp.jpg,On the air. Unaware.,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
39,Oppenheimer,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"[{'name': 'Drama'}, {'name': 'History'}, {'name': 'Thriller'}]","[{'name': 'atomic bomb'}, {'name': 'physics'}, {'name': 'war'}, {'name': 'scientist'}, {'name': 'manhattan project'}]",8.1,10000,88,2023-07-19,Released,tt15398776,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,The world forever changes.,[{'name': 'Universal Pictures'}],[{'name': 'United States of America'}]
40,Dune,Feature adaptation of Frank Herberts science fiction novel about the son of a noble family trying to avenge his fathers death.,"[{'name': 'Science Fiction'}, {'name': 'Adventure'}, {'name': 'Drama'}]","[{'name': 'desert'}, {'name': 'spice'}, {'name': 'chosen one'}, {'name': 'politics'}, {'name': 'epic'}]",7.8,11000,82,2021-09-15,Released,tt1160419,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,It begins.,[{'name': 'Legendary Pictures'}],[{'name': 'United States of America'}]
41,The Social Network,As Harvard students create a social networking site the founders face personal and legal complications.,[{'name': 'Drama'}],"[{'name': 'facebook'}, {'name': 'technology'}, {'name': 'betrayal'}, {'name': 'startup'}, {'name': 'ambition'}]",7.3,13000,55,2010-10-01,Released,tt1285016,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,You don't get to 500 million friends without making a few enemies.,[{'name': 'Columbia Pictures'}],[{'name': 'United States of America'}]
42,Blade Runner 2049,Young Blade Runner K's discovery of a secret leads him on a quest to find Rick Deckard who has been missing.,"[{'name': 'Science Fiction'}, {'name': 'Drama'}, {'name': 'Mystery'}]","[{'name': 'replicant'}, {'name': 'dystopia'}, {'name': 'future'}, {'name': 'identity'}, {'name': 'artificial intelligence'}]",7.5,12000,60,2017-10-04,Released,tt1856101,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,The key to the future is finally unearthed.,[{'name': 'Warner Bros Pictures'}],[{'name': 'United States of America'}]
43,Toy Story,A cowboy doll is profoundly threatened when a new spaceman figure supplants him as top toy in a boys room.,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Family'}]","[{'name': 'toy'}, {'name': 'friendship'}, {'name': 'adventure'}, {'name': 'jealousy'}, {'name': 'imagination'}]",8.0,17000,68,1995-10-30,Released,tt0114709,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,The adventure takes off!,[{'name': 'Pixar'}],[{'name': 'United States of America'}]
44,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and finds two million dollars.,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]","[{'name': 'hitman'}, {'name': 'western'}, {'name': 'fate'}, {'name': 'violence'}, {'name': 'desert'}]",7.9,11000,55,2007-06-13,Released,tt0477348,/bj1v6YSd1lE4gvmG8sPYMTcXBPT.jpg,There are no clean getaways.,[{'name': 'Miramax'}],[{'name': 'United States of America'}]
45,John Wick,An ex-hitman comes out of retirement to track down the gangsters that killed his dog.,"[{'name': 'Action'}, {'name': 'Thriller'}]","[{'name': 'hitman'}, {'name': 'revenge'}, {'name': 'dog'}, {'name': 'assassin'}, {'name': 'underworld'}]",7.4,16000,72,2014-10-22,Released,tt2911666,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,Don't set him off.,[{'name': 'Lionsgate'}],[{'name': 'United States of America'}]
46,Get Out,A young African-American visits his white girlfriends parents for the weekend where his uneasiness about their reception of him leads to a nightmarish discovery.,"[{'name': 'Horror'}, {'name': 'Mystery'}, {'name': 'Thriller'}]","[{'name': 'racism'}, {'name': 'horror'}, {'name': 'hypnosis'}, {'name': 'suburban'}, {'name': 'social commentary'}]",7.6,13000,58,2017-02-24,Released,tt5052448,/tFXcEccSQMf3zy7uCiqrmopQ3Zy.jpg,Just because you're invited doesn't mean you're welcome.,[{'name': 'Universal Pictures'}],[{'name': 'United States of America'}]
47,Spirited Away,During her familys move to the suburbs a young girl wanders into a world ruled by gods witches and spirits.,"[{'name': 'Animation'}, {'name': 'Family'}, {'name': 'Fantasy'}]","[{'name': 'spirit'}, {'name': 'japan'}, {'name': 'anime'}, {'name': 'magical'}, {'name': 'journey'}]",8.5,15000,62,2001-07-20,Released,tt0245429,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,,[{'name': 'Studio Ghibli'}],[{'name': 'Japan'}]
48,The Wolf of Wall Street,Based on the true story of Jordan Belfort from his rise to a wealthy stockbroker to his fall involving crime and corruption.,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Comedy'}]","[{'name': 'wall street'}, {'name': 'greed'}, {'name': 'stock market'}, {'name': 'corruption'}, {'name': 'wealth'}]",8.0,21000,70,2013-12-25,Released,tt0993846,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
49,Shutter Island,Two U.S. Marshals are sent to investigate the disappearance of a patient from a hospital for the criminally insane.,"[{'name': 'Drama'}, {'name': 'Thriller'}, {'name': 'Mystery'}]","[{'name': 'island'}, {'name': 'psychiatric hospital'}, {'name': 'investigation'}, {'name': 'twist'}, {'name': 'conspiracy'}]",8.2,22000,68,2010-02-14,Released,tt1130884,/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg,Some places never let you go.,[{'name': 'Paramount Pictures'}],[{'name': 'United States of America'}]
50,Everything Everywhere All at Once,An aging Chinese immigrant is swept up in an insane adventure where she must connect with parallel universe versions of herself.,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Science Fiction'}]","[{'name': 'multiverse'}, {'name': 'family'}, {'name': 'immigrant'}, {'name': 'martial arts'}, {'name': 'absurdist'}]",7.8,10000,75,2022-03-24,Released,tt6710474,/w3LxiVFoqqKpGoKg536lFcrBESR.jpg,The universe is so much bigger than you realize.,[{'name': 'A24'}],[{'name': 'United States of America'}]
